,,Sri Dharani Wines
,,Closing Stock, (ALL PACKS)
,,As on: 03/04/2026
Sl.,Item,Brand,Pack,Code,BPC,MRP,Godown,Shop,BarCode
149,BRANDY,CYRUS II BLENDED GRAPE BY,1000,730.4,9,600.00,0.000,0.000,"8908018329057"
150,BRANDY,CYRUS II BLENDED GRAPE BY,750,730.1,12,500.00,0.000,0.000,""
151,BRANDY,CYRUS II BLENDED GRAPE BY,500,730.5,18,300.00,0.000,0.000,"8908018329033"
152,BRANDY,CYRUS II BLENDED GRAPE BY,375,730.2,24,250.00,0.000,0.000,"8908018329026"
153,BRANDY,CYRUS II BLENDED GRAPE BY,180,730.3,48,120.00,0.000,0.000,""
154,BRANDY,CYRUS II BLENDED GRAPE BY,90,730.7,96,59.00,0.000,0.000,"8908018329064"
155,BRANDY,DAVID LOUIS XO BRANDY,750,482.1,12,990.00,0.000,0.000,"8904011614220"
156,BRANDY,DAVID LOUIS XO BRANDY,60,482.6,150,90.00,0.000,0.000,"8904011614275"
157,BRANDY,DORDOGNE VSOP FRENCH SPRT,1000,506.1,12,1800.00,0.000,0.000,""
158,BRANDY,DOUBLE DEER BRANDY,750,713.1,12,210.00,0.000,0.000,""
159,BRANDY,DOUBLE DEER BRANDY,180,713.3,48,51.00,0.000,0.000,""
160,BRANDY,DSP BLACK DLX BRANDY,2000,428.8,6,1090.00,0.000,0.000,"8906111453815"
161,BRANDY,DSP BLACK DLX BRANDY,750,428.1,12,410.00,0.000,0.000,"8906111452825"
162,BRANDY,DUPORT NAPOLEON BOLD VSOP,1000,772.1,12,2188.00,0.000,0.000,""
163,BRANDY,DUPORT NAPOLEON VSOP FINE,1000,720.1,12,2067.00,0.000,0.002,"3760293449616"
164,BRANDY,EASTCOAST INDIAN BLEN BDY,750,553.1,12,598.00,0.000,0.000,""
165,BRANDY,EXTRA GOLDEN STAR BRANDY,750,711.1,12,222.00,0.000,0.000,""
166,BRANDY,FIERCE XO PREMIUM BRANDY,750,180.1,12,900.00,0.000,0.000,""
167,BRANDY,FIERCE XO PREMIUM BRANDY,180,180.3,48,225.00,0.000,0.000,""
168,BRANDY,FLAMINGO VSOP BRANDY,375,57.2,24,216.00,0.000,0.000,""
169,BRANDY,FLAMINGO VSOP BRANDY,180,57.3,48,108.00,0.000,0.000,"8904011611052"
170,BRANDY,FLAMINGO VSOP BRANDY,90,57.7,96,54.00,0.000,0.000,"8904011611090"
171,BRANDY,FRENCH QUARTERS XO BRANDY,750,623.1,12,638.00,0.000,0.001,""
172,BRANDY,FRENCH QUARTERS XO BRANDY,180,623.3,48,156.00,0.000,0.020,""
173,BRANDY,GEO XO PREM LEAGUE BRANDY,750,376.1,12,628.00,0.000,0.011,"8908001853613"
174,BRANDY,GEO XO PREM LEAGUE BRANDY,500,376.5,18,398.00,0.000,0.000,""
175,BRANDY,GEO XO PREM LEAGUE BRANDY,375,376.2,24,312.00,0.000,0.012,"8908001853620"
176,BRANDY,GEO XO PREM LEAGUE BRANDY,180,376.3,48,158.00,0.000,0.011,"8908001853637"
177,BRANDY,GEO XO PREM LEAGUE BRANDY,90,376.7,96,78.00,0.000,0.041,"8908001853668"
178,BRANDY,GILLES NAPOLEON XO FRENCH,750,745.1,12,1080.00,0.000,0.000,""
179,BRANDY,GOA XXX BRAANDY,500,378.5,18,192.00,0.000,0.000,""
180,BRANDY,GOA XXX BRAANDY,375,378.2,18,144.00,0.000,0.000,""
181,BRANDY,GOA XXX BRAANDY,180,378.1,48,72.00,0.000,0.000,""
182,BRANDY,GOA XXX BRAANDY,90,378.7,96,36.00,0.000,0.000,""
183,BRANDY,GODS OWN VSOP BRANDY,1000,657.4,12,2490.00,0.000,0.000,"8906169710298"
184,BRANDY,GODS OWN VSOP BRANDY,750,657.1,12,1980.00,0.000,0.000,""
185,BRANDY,GOLD BISCUIT VS BRANDY,1000,355.4,9,408.00,0.000,0.006,""
186,BRANDY,GOLD BISCUIT VS BRANDY,750,355.1,12,310.00,1.000,1.000,""
187,BRANDY,GOLD BISCUIT VS BRANDY,500,355.5,18,208.00,0.000,0.000,""
188,BRANDY,GOLD BISCUIT VS BRANDY,375,355.2,24,159.00,0.000,0.023,""
189,BRANDY,GOLD BISCUIT VS BRANDY,180,355.3,48,78.00,2.000,0.012,""
190,BRANDY,GOLD BISCUIT VS BRANDY,90,355.7,96,39.00,0.000,0.000,""
191,BRANDY,GOLD NAPOLEON FRENCH SPIR,1000,684.1,12,2001.00,0.000,0.000,"3012990060909"
192,BRANDY,GOLDEN TOUCH BRANDY,750,29.1,12,590.00,0.000,0.008,"8908005020011"
193,BRANDY,GOLDEN TOUCH BRANDY,180,29.3,48,147.00,0.000,0.042,""
